stimuli_id,word,color,congruent,corrAnsw,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,Instruction.stopped,interupt_key.keys,interupt_key.rt,interupt_key.started,interupt_key.stopped,Stimul_text.started,Stimul_text.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,fix_cross.started,fix_cross.stopped,sync_square.started,sync_square.stopped,participant,session,date,expName,psychopyVersion,frameRate,
9,red,blue,0,b,1,12,28,8,,,,,,,101.86230189999333,None,b,1,1.2175891999795567,101.86230189999333,None,99.87707360001514,101.87925600001472,101.86230189999333,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,1,13,29,1,,,,,,,105.08200920000672,None,r,1,0.5687031999987084,105.08200920000672,None,103.09698309999658,105.09872989999712,105.08200920000672,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,1,14,30,10,,,,,,,107.65135210001608,None,b,1,1.1828307999821845,107.65135210001608,None,105.66626100000576,107.66838439999265,107.65135210001608,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,1,15,31,9,,,,,,,110.83805960000609,None,b,1,0.5674022000166588,110.83805960000609,None,108.8530080000055,110.8547249000112,110.83805960000609,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
6,blue,green,0,g,2,0,32,5,,,,,,,113.40735960000893,None,g,1,0.6607801000063773,113.40735960000893,None,111.4220323000045,113.42421140000806,113.40735960000893,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
7,green,green,1,g,2,1,33,6,,,,,,,116.07663220001268,None,g,1,0.6609291000058874,116.07663220001268,None,114.09157750001759,116.09407849999843,116.07663220001268,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,2,2,34,13,,,,,,,118.74605539999902,None,y,1,1.2631075000099372,118.74605539999902,None,116.76081360000535,118.76267650001682,118.74605539999902,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
15,green,yellow,0,y,2,3,35,14,,,,,,,122.01590480000596,None,y,1,0.6967861000157427,122.01590480000596,None,120.03070239999215,122.0324171000102,122.01590480000596,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,2,4,36,8,,,,,,,124.71873590000905,None,b,1,0.7879977000120562,124.71873590000905,None,122.73298430000432,124.73550340000656,124.71873590000905,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,2,5,37,2,,,,,,,127.52140009999857,None,r,1,0.7871235999919008,127.52140009999857,None,125.53614480001852,127.53834930001176,127.52140009999857,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,2,6,38,0,,,,,,,130.32415349999792,None,r,1,0.5116717000200879,130.32415349999792,None,128.33888550000847,130.34096410000348,130.32415349999792,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,2,7,39,3,,,,,,,132.8435163999966,None,r,1,0.3783712000004016,132.8435163999966,None,130.85773899999913,132.85963620000985,132.8435163999966,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,2,8,40,7,,,,,,,135.2301415000111,None,g,1,0.8294887999945786,135.2301415000111,None,133.24407580000116,135.2455093000026,135.2301415000111,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,2,9,41,1,,,,,,,138.06505820000893,None,r,1,0.775134600000456,138.06505820000893,None,136.0803366000182,138.08188750001136,138.06505820000893,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,2,10,42,11,,,,,,,140.8510801999946,None,b,1,0.9161236999789253,140.8510801999946,None,138.86599829999614,140.8680197999929,140.8510801999946,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,2,11,43,10,,,,,,,143.7708885000029,None,b,1,0.8107611000014003,143.7708885000029,None,141.7856235000072,143.78751799999736,143.7708885000029,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
5,red,green,0,g,2,12,44,4,,,,,,,146.59049800000503,None,r,0,0.9211167000175919,146.59049800000503,None,144.60494600000675,146.6071709000098,146.59049800000503,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,2,13,45,15,,,,,,,149.52689430001192,None,y,1,0.7197007999930065,149.52689430001192,None,147.5416247000103,149.5436156000069,149.52689430001192,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
13,red,yellow,0,y,2,14,46,12,,,,,,,152.262713300006,None,y,1,0.7029968000133522,152.262713300006,None,150.27778870001202,152.28055450000102,152.262713300006,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,2,15,47,9,,,,,,,154.98228920000838,None,b,1,0.5594115999992937,154.98228920000838,None,152.99677140000858,154.99912349999067,154.98228920000838,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,3,0,48,10,,,,,,,157.55121080001118,None,b,1,0.4071745999972336,157.55121080001118,None,155.5662549000117,157.5683074000117,157.55121080001118,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,3,1,49,7,,,,,,,159.9706531999982,None,g,1,0.5238677999877837,159.9706531999982,None,157.9849313000159,159.98716220000642,159.9706531999982,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,3,2,50,15,,,,,,,162.50684570000158,None,y,1,0.40578260002075695,162.50684570000158,None,160.5211196000164,162.52334040001733,162.50684570000158,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
7,green,green,1,g,3,3,51,6,,,,,,,164.92548289999831,None,g,1,0.49101990001508966,164.92548289999831,None,162.94012330000987,164.94230540000717,164.92548289999831,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
15,green,yellow,0,y,3,4,52,14,,,,,,,167.4277512000117,None,y,1,0.5019312000076752,167.4277512000117,None,165.44213979999768,167.44487470001332,167.4277512000117,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,3,5,53,2,,,,,,,169.93056989999604,None,r,1,1.168825000000652,169.93056989999604,None,167.9449927000096,169.94680989999324,169.93056989999604,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,3,6,54,3,,,,,,,173.10056130000157,None,y,0,0.6525127000059001,173.10056130000157,None,171.11566380001022,173.11656300001778,173.10056130000157,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,3,7,55,11,,,,,,,175.76950600001146,None,b,1,1.4782105000049341,175.76950600001146,None,173.78396940001403,175.78630460001295,175.76950600001146,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,3,8,56,8,,,,,,,179.25630660000024,None,b,1,0.48140560000319965,179.25630660000024,None,177.27135210001143,179.27312580001308,179.25630660000024,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
13,red,yellow,0,y,3,9,57,12,,,,,,,181.7419487000152,None,y,1,0.8387329000106547,181.7419487000152,None,179.75691870000446,181.75864030001685,181.7419487000152,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
6,blue,green,0,g,3,10,58,5,,,,,,,184.59513850000803,None,g,1,0.42216290000942536,184.59513850000803,None,182.60980170001858,184.61156469999696,184.59513850000803,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
5,red,green,0,g,3,11,59,4,,,,,,,187.03098100001807,None,g,1,0.4097656999947503,187.03098100001807,None,185.04569279999123,187.04764490001253,187.03098100001807,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,3,12,60,9,,,,,,,189.44993339999928,None,b,1,0.6485808000143152,189.44993339999928,None,187.4649987000157,189.46604669999215,189.44993339999928,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,3,13,61,0,,,,,,,192.10244750001584,None,r,1,1.61760709999362,192.10244750001584,None,190.11723309999797,192.1194516000105,192.10244750001584,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,3,14,62,1,,,,,,,195.72268639999675,None,r,1,0.4345431000110693,195.72268639999675,None,193.7375335000106,195.7397265000036,195.72268639999675,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,3,15,63,13,,,,,,,198.15876940000453,None,b,0,0.6968758000002708,198.15876940000453,None,196.17328540000017,198.17545800001244,198.15876940000453,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,4,0,64,0,,,,,,,200.8610148000007,None,r,1,0.5675676999962889,200.8610148000007,None,198.87595000001602,200.87790200000745,200.8610148000007,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
4,yellow,red,0,r,4,1,65,3,,,,,,,203.43057550000958,None,r,1,0.4846802999963984,203.43057550000958,None,201.44509220001055,203.44720660001622,203.43057550000958,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
8,yellow,green,0,g,4,2,66,7,,,,,,,205.91620599999442,None,g,1,0.7227429999911692,205.91620599999442,None,203.9311083999928,205.93325269999332,205.91620599999442,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
12,yellow,blue,0,b,4,3,67,11,,,,,,,208.65276880000602,None,b,1,1.6925886000099126,208.65276880000602,None,206.66705290001119,208.66995050001424,208.65276880000602,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,4,4,68,15,,,,,,,212.35625410001376,None,y,1,0.6151432000042405,212.35625410001376,None,210.37036890001036,212.37290320001193,212.35625410001376,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,4,5,69,9,,,,,,,214.97544700000435,None,b,1,0.6452731000026688,214.97544700000435,None,212.99033960001543,214.99224190000677,214.97544700000435,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
7,green,green,1,g,4,6,70,6,,,,,,,217.62820669999928,None,g,1,0.562159299995983,217.62820669999928,None,215.64289270000882,217.64478649999364,217.62820669999928,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,4,7,71,13,,,,,,,220.19733190000989,None,b,0,0.6022525000153109,220.19733190000989,None,218.21197000000393,220.21364679999533,220.19733190000989,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,4,8,72,8,,,,,,,222.8002839999972,None,b,1,1.3134475000260863,222.8002839999972,None,220.814383799996,222.81654400000116,222.8002839999972,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
13,red,yellow,0,y,4,9,73,12,,,,,,,226.12004139999044,None,y,1,1.03908339998452,226.12004139999044,None,224.13440440001432,226.13608450000174,226.12004139999044,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
15,green,yellow,0,y,4,10,74,14,,,,,,,229.17245589999948,None,y,1,0.8850709999969695,229.17245589999948,None,227.1877701000194,229.1892415000184,229.17245589999948,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,4,11,75,1,,,,,,,232.05941250000615,None,b,0,0.5021516999986488,232.05941250000615,None,230.07390059999307,232.07561030000215,232.05941250000615,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,4,12,76,10,,,,,,,234.57799140000134,None,b,1,0.7685455000028014,234.57799140000134,None,232.5930582000001,234.59539689999656,234.57799140000134,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
6,blue,green,0,g,4,13,77,5,,,,,,,237.3478723000153,None,g,1,0.603775499999756,237.3478723000153,None,235.36286399999517,237.36410949999117,237.3478723000153,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
5,red,green,0,g,4,14,78,4,,,,,,,239.96706200001063,None,g,1,0.36462109998683445,239.96706200001063,None,237.9816562999913,239.9841693000053,239.96706200001063,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,4,15,79,2,,,,,,,242.3358981999918,None,r,1,0.7778325999970548,242.3358981999918,None,240.3509705000033,242.35272359999362,242.3358981999918,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
16,yellow,yellow,1,y,5,0,80,15,,,,,,,245.12196200000471,None,y,1,0.5515276000078302,245.12196200000471,None,243.13678950001486,245.13916600000812,245.12196200000471,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
1,red,red,1,r,5,1,81,0,,,,,,,247.69143199999235,None,r,1,0.7581310999812558,247.69143199999235,None,245.70604849999654,247.70817550001084,247.69143199999235,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
15,green,yellow,0,y,5,2,82,14,,,,,,,250.46058549999725,None,y,1,1.2656349000171758,250.46058549999725,None,248.47549169999547,250.4777815999987,250.46058549999725,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
10,blue,blue,1,b,5,3,83,9,,,,,,,253.7305078000063,None,b,1,0.6246641000034288,253.7305078000063,None,251.74555240001064,253.74765659999684,253.7305078000063,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
2,blue,red,0,r,5,4,84,1,,,,,,,256.36672560000443,None,r,1,0.7156831000174861,256.36672560000443,None,254.3817163000058,256.3829970000079,256.36672560000443,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
11,green,blue,0,b,5,5,85,10,,,,,,,259.08594590000575,None,y,0,0.9603411999996752,259.08594590000575,None,257.1009402000054,259.1031128000177,259.08594590000575,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
6,blue,green,0,g,5,6,86,5,,,,,,,262.0556241000013,None,g,1,0.5906515000096988,262.0556241000013,None,260.0703502999968,262.07213220000267,262.0556241000013,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
14,blue,yellow,0,y,5,7,87,13,,,,,,,264.65831659999094,None,b,0,0.7043114999833051,264.65831659999094,None,262.6731839000131,264.6750936000026,264.65831659999094,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
3,green,red,0,r,5,8,88,2,,,,,,,267.3774873999937,None,r,1,1.0969926999823656,267.3774873999937,None,265.39262590001454,267.39457979999133,267.3774873999937,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
9,red,blue,0,b,5,9,89,8,,,,,,,270.48054750001756,None,b,1,0.7146830999990925,270.48054750001756,None,268.4955140000093,270.4971775000158,270.48054750001756,None,000,001,2022_Feb_15_1729,stroopExp,2021.2.3,60.02977477137804,
